<meta message track_name name='Sonate Nr. 23 Op. 57' time=0>
<meta message track_name name='Appassionata' time=0>
note_on channel=0 note=76 velocity=0 time=20
note_on channel=0 note=74 velocity=32 time=0
<meta message set_tempo tempo=337079 time=20>
<meta message set_tempo tempo=336134 time=40>
<meta message set_tempo tempo=335196 time=20>
note_on channel=0 note=74 velocity=0 time=0
note_on channel=0 note=76 velocity=29 time=0
<meta message set_tempo tempo=334262 time=40>
<meta message set_tempo tempo=333333 time=20>
<meta message set_tempo tempo=334262 time=20>
note_on channel=0 note=76 velocity=0 time=0
note_on channel=0 note=74 velocity=32 time=0
<meta message set_tempo tempo=335196 time=40>
note_on channel=0 note=74 velocity=0 time=40
note_on channel=0 note=76 velocity=28 time=0
<meta message set_tempo tempo=336134 time=40>
<meta message set_tempo tempo=337079 time=40>
note_on channel=0 note=76 velocity=0 time=0
note_on channel=0 note=74 velocity=31 time=0
<meta message set_tempo tempo=338028 time=40>
note_on channel=0 note=74 velocity=0 time=40
note_on channel=0 note=76 velocity=29 time=0
<meta message set_tempo tempo=338983 time=40>
<meta message set_tempo tempo=339943 time=40>
note_on channel=0 note=76 velocity=0 time=0
note_on channel=0 note=74 velocity=27 time=0
<meta message set_tempo tempo=340909 time=40>
note_on channel=0 note=74 velocity=0 time=40
note_on channel=0 note=76 velocity=32 time=0
<meta message set_tempo tempo=341880 time=40>
<meta message set_tempo tempo=341880 time=20>
<meta message set_tempo tempo=347826 time=20>
note_on channel=0 note=76 velocity=0 time=0
note_on channel=0 note=74 velocity=27 time=0
<meta message set_tempo tempo=353982 time=20>
<meta message set_tempo tempo=360360 time=20>
<meta message set_tempo tempo=366972 time=20>
<meta message set_tempo tempo=373832 time=20>
<meta message set_tempo tempo=382166 time=20>
<meta message set_tempo tempo=421556 time=20>
note_on channel=0 note=74 velocity=0 time=0
note_on channel=0 note=72 velocity=28 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=76 velocity=31 time=0
<meta message set_tempo tempo=461858 time=120>
note_on channel=0 note=76 velocity=0 time=0
note_on channel=0 note=74 velocity=28 time=0
note_on channel=0 note=74 velocity=0 time=120
note_on channel=0 note=56 velocity=0 time=0
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=53 velocity=0 time=0
note_on channel=0 note=72 velocity=35 time=0
note_on channel=0 note=55 velocity=22 time=0
note_on channel=0 note=52 velocity=19 time=0
note_on channel=0 note=60 velocity=26 time=0
control_change channel=0 control=64 value=0 time=8
note_on channel=0 note=60 velocity=0 time=472
note_on channel=0 note=72 velocity=0 time=0
note_on channel=0 note=55 velocity=0 time=0
note_on channel=0 note=52 velocity=0 time=0
<meta message set_tempo tempo=383779 time=1680>
note_on channel=0 note=61 velocity=35 time=0
note_on channel=0 note=37 velocity=27 time=0
<meta message set_tempo tempo=408497 time=240>
<meta message set_tempo tempo=544119 time=360>
note_on channel=0 note=37 velocity=0 time=0
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=58 velocity=31 time=0
note_on channel=0 note=34 velocity=25 time=0
<meta message set_tempo tempo=370966 time=120>
note_on channel=0 note=34 velocity=0 time=0
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=54 velocity=28 time=0
note_on channel=0 note=30 velocity=22 time=0
<meta message set_tempo tempo=383779 time=1440>
note_on channel=0 note=30 velocity=0 time=720
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=58 velocity=35 time=0
note_on channel=0 note=34 velocity=27 time=0
<meta message set_tempo tempo=396170 time=240>
<meta message set_tempo tempo=429707 time=360>
note_on channel=0 note=34 velocity=0 time=0
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=61 velocity=30 time=0
note_on channel=0 note=37 velocity=24 time=0
<meta message set_tempo tempo=352195 time=120>
note_on channel=0 note=37 velocity=0 time=0
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=66 velocity=35 time=0
note_on channel=0 note=42 velocity=27 time=0
<meta message set_tempo tempo=370966 time=720>
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=70 velocity=35 time=0
note_on channel=0 note=46 velocity=27 time=0
<meta message set_tempo tempo=373576 time=240>
<meta message set_tempo tempo=406201 time=360>
note_on channel=0 note=46 velocity=0 time=0
note_on channel=0 note=70 velocity=0 time=0
note_on channel=0 note=73 velocity=30 time=0
note_on channel=0 note=49 velocity=24 time=0
<meta message set_tempo tempo=370966 time=120>
note_on channel=0 note=49 velocity=0 time=0
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=78 velocity=34 time=0
note_on channel=0 note=54 velocity=29 time=0
<meta message set_tempo tempo=391901 time=480>
<meta message set_tempo tempo=370966 time=240>
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=78 velocity=0 time=0
note_on channel=0 note=66 velocity=33 time=0
note_on channel=0 note=58 velocity=26 time=0
note_on channel=0 note=58 velocity=0 time=720
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=73 velocity=35 time=0
note_on channel=0 note=53 velocity=26 time=0
note_on channel=0 note=61 velocity=26 time=0
note_on channel=0 note=56 velocity=26 time=0
control_change channel=0 control=64 value=127 time=328
<meta message set_tempo tempo=397483 time=872>
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=75 velocity=32 time=0
note_on channel=0 note=75 velocity=0 time=180
note_on channel=0 note=73 velocity=31 time=0
<meta message set_tempo tempo=347826 time=40>
<meta message set_tempo tempo=353982 time=20>
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=53 velocity=0 time=0
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=56 velocity=0 time=0
note_on channel=0 note=75 velocity=30 time=0
note_on channel=0 note=57 velocity=26 time=0
note_on channel=0 note=60 velocity=26 time=0
note_on channel=0 note=54 velocity=26 time=0
control_change channel=0 control=64 value=0 time=11
<meta message set_tempo tempo=352941 time=29>
<meta message set_tempo tempo=351906 time=20>
<meta message set_tempo tempo=350877 time=20>
note_on channel=0 note=75 velocity=0 time=0
note_on channel=0 note=77 velocity=27 time=0
control_change channel=0 control=64 value=127 time=12
<meta message set_tempo tempo=349854 time=8>
<meta message set_tempo tempo=348837 time=20>
<meta message set_tempo tempo=347826 time=20>
<meta message set_tempo tempo=346821 time=20>
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=75 velocity=30 time=0
<meta message set_tempo tempo=345821 time=40>
<meta message set_tempo tempo=344828 time=20>
<meta message set_tempo tempo=343840 time=20>
note_on channel=0 note=75 velocity=0 time=0
note_on channel=0 note=77 velocity=27 time=0
<meta message set_tempo tempo=342857 time=20>
<meta message set_tempo tempo=341880 time=20>
<meta message set_tempo tempo=340909 time=20>
<meta message set_tempo tempo=339943 time=20>
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=75 velocity=30 time=0
<meta message set_tempo tempo=338983 time=40>
<meta message set_tempo tempo=338028 time=20>
<meta message set_tempo tempo=337079 time=20>
note_on channel=0 note=75 velocity=0 time=0
note_on channel=0 note=77 velocity=27 time=0
<meta message set_tempo tempo=336134 time=20>
<meta message set_tempo tempo=335196 time=20>
<meta message set_tempo tempo=334262 time=20>
<meta message set_tempo tempo=333333 time=20>
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=75 velocity=29 time=0
<meta message set_tempo tempo=334262 time=20>
<meta message set_tempo tempo=333333 time=20>
note_on channel=0 note=75 velocity=0 time=40
note_on channel=0 note=77 velocity=27 time=0
<meta message set_tempo tempo=334262 time=40>
<meta message set_tempo tempo=335196 time=40>
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=75 velocity=29 time=0
<meta message set_tempo tempo=336134 time=40>
<meta message set_tempo tempo=337079 time=40>
note_on channel=0 note=75 velocity=0 time=0
note_on channel=0 note=77 velocity=28 time=0
<meta message set_tempo tempo=338028 time=80>
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=75 velocity=30 time=0
<meta message set_tempo tempo=338983 time=40>
<meta message set_tempo tempo=339943 time=40>
note_on channel=0 note=75 velocity=0 time=0
note_on channel=0 note=77 velocity=28 time=0
<meta message set_tempo tempo=341880 time=20>
<meta message set_tempo tempo=345821 time=20>
<meta message set_tempo tempo=350877 time=20>
<meta message set_tempo tempo=355030 time=20>
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=75 velocity=26 time=0
<meta message set_tempo tempo=360360 time=20>
<meta message set_tempo tempo=365854 time=20>
<meta message set_tempo tempo=370370 time=20>
<meta message set_tempo tempo=376176 time=20>
<meta message set_tempo tempo=382166 time=20>
<meta message set_tempo tempo=421556 time=20>
note_on channel=0 note=75 velocity=0 time=0
note_on channel=0 note=73 velocity=28 time=0
note_on channel=0 note=73 velocity=0 time=120
note_on channel=0 note=77 velocity=31 time=0
<meta message set_tempo tempo=461858 time=120>
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=75 velocity=29 time=0
<meta message set_tempo tempo=372532 time=120>
note_on channel=0 note=75 velocity=0 time=0
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=57 velocity=0 time=0
note_on channel=0 note=73 velocity=35 time=0
note_on channel=0 note=53 velocity=19 time=0
note_on channel=0 note=56 velocity=22 time=0
note_on channel=0 note=61 velocity=26 time=0
control_change channel=0 control=64 value=0 time=9
note_on channel=0 note=61 velocity=0 time=471
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=53 velocity=0 time=0
note_on channel=0 note=56 velocity=0 time=0
<meta message set_tempo tempo=370416 time=2400>
note_on channel=0 note=72 velocity=35 time=0
note_on channel=0 note=67 velocity=26 time=0
note_on channel=0 note=64 velocity=26 time=0
control_change channel=0 control=64 value=127 time=289
<meta message set_tempo tempo=397483 time=911>
note_on channel=0 note=72 velocity=0 time=0
note_on channel=0 note=74 velocity=42 time=0
note_on channel=0 note=74 velocity=0 time=180
note_on channel=0 note=72 velocity=38 time=0
<meta message set_tempo tempo=338983 time=60>
note_on channel=0 note=72 velocity=0 time=0
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=67 velocity=0 time=0
note_on channel=0 note=74 velocity=43 time=0
note_on channel=0 note=68 velocity=26 time=0
note_on channel=0 note=71 velocity=26 time=0
note_on channel=0 note=65 velocity=26 time=0
control_change channel=0 control=64 value=0 time=7
control_change channel=0 control=64 value=127 time=62
<meta message set_tempo tempo=338028 time=11>
note_on channel=0 note=74 velocity=0 time=0
note_on channel=0 note=76 velocity=35 time=0
<meta message set_tempo tempo=337079 time=80>
note_on channel=0 note=76 velocity=0 time=0
note_on channel=0 note=74 velocity=40 time=0
<meta message set_tempo tempo=336134 time=40>
note_on channel=0 note=74 velocity=0 time=40
note_on channel=0 note=76 velocity=36 time=0
<meta message set_tempo tempo=335196 time=40>
<meta message set_tempo tempo=334262 time=40>
note_on channel=0 note=76 velocity=0 time=0
note_on channel=0 note=74 velocity=39 time=0
<meta message set_tempo tempo=333333 time=80>
note_on channel=0 note=74 velocity=0 time=0
note_on channel=0 note=76 velocity=36 time=0
<meta message set_tempo tempo=332410 time=40>
note_on channel=0 note=76 velocity=0 time=40
note_on channel=0 note=74 velocity=41 time=0
<meta message set_tempo tempo=333333 time=40>
<meta message set_tempo tempo=334262 time=40>
note_on channel=0 note=74 velocity=0 time=0
note_on channel=0 note=76 velocity=37 time=0
<meta message set_tempo tempo=335196 time=80>
note_on channel=0 note=76 velocity=0 time=0
note_on channel=0 note=74 velocity=40 time=0
<meta message set_tempo tempo=336134 time=40>
<meta message set_tempo tempo=337079 time=40>
note_on channel=0 note=74 velocity=0 time=0
note_on channel=0 note=76 velocity=35 time=0
<meta message set_tempo tempo=337079 time=20>
<meta message set_tempo tempo=338028 time=60>
note_on channel=0 note=76 velocity=0 time=0
note_on channel=0 note=74 velocity=31 time=0
<meta message set_tempo tempo=338983 time=40>
<meta message set_tempo tempo=339943 time=40>
note_on channel=0 note=74 velocity=0 time=0
note_on channel=0 note=76 velocity=37 time=0
<meta message set_tempo tempo=343840 time=20>
<meta message set_tempo tempo=347826 time=20>
<meta message set_tempo tempo=351906 time=20>
<meta message set_tempo tempo=356083 time=20>
note_on channel=0 note=76 velocity=0 time=0
note_on channel=0 note=74 velocity=33 time=0
<meta message set_tempo tempo=361446 time=20>
<meta message set_tempo tempo=365854 time=20>
<meta message set_tempo tempo=370370 time=20>
<meta message set_tempo tempo=375000 time=20>
<meta message set_tempo tempo=380952 time=20>
<meta message set_tempo tempo=421556 time=20>
note_on channel=0 note=74 velocity=0 time=0
note_on channel=0 note=72 velocity=33 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=76 velocity=37 time=0
<meta message set_tempo tempo=461858 time=120>
note_on channel=0 note=76 velocity=0 time=0
note_on channel=0 note=74 velocity=33 time=0
<meta message set_tempo tempo=345085 time=120>
note_on channel=0 note=74 velocity=0 time=0
note_on channel=0 note=65 velocity=0 time=0
note_on channel=0 note=71 velocity=0 time=0
note_on channel=0 note=68 velocity=0 time=0
note_on channel=0 note=72 velocity=35 time=0
note_on channel=0 note=64 velocity=22 time=0
note_on channel=0 note=67 velocity=26 time=0
control_change channel=0 control=64 value=0 time=0
note_on channel=0 note=67 velocity=0 time=480
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=72 velocity=0 time=0
<meta message set_tempo tempo=397351 time=240>
note_on channel=0 note=37 velocity=27 time=0
<meta message set_tempo tempo=376176 time=40>
note_on channel=0 note=37 velocity=0 time=80
<meta message set_tempo tempo=380952 time=120>
note_on channel=0 note=37 velocity=26 time=0
note_on channel=0 note=37 velocity=0 time=120
<meta message set_tempo tempo=385852 time=120>
note_on channel=0 note=37 velocity=26 time=0
note_on channel=0 note=37 velocity=0 time=120
<meta message set_tempo tempo=372532 time=120>
note_on channel=0 note=36 velocity=26 time=0
note_on channel=0 note=36 velocity=0 time=240
<meta message set_tempo tempo=370416 time=1200>
note_on channel=0 note=76 velocity=35 time=0
note_on channel=0 note=67 velocity=26 time=0
note_on channel=0 note=73 velocity=26 time=0
note_on channel=0 note=70 velocity=26 time=0
control_change channel=0 control=64 value=127 time=353
<meta message set_tempo tempo=397483 time=847>
note_on channel=0 note=76 velocity=0 time=0
note_on channel=0 note=77 velocity=38 time=0
<meta message set_tempo tempo=378549 time=220>
<meta message set_tempo tempo=334262 time=20>
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=70 velocity=0 time=0
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=67 velocity=0 time=0
note_on channel=0 note=77 velocity=39 time=0
note_on channel=0 note=70 velocity=26 time=0
note_on channel=0 note=73 velocity=26 time=0
note_on channel=0 note=68 velocity=26 time=0
control_change channel=0 control=64 value=0 time=12
<meta message set_tempo tempo=333333 time=68>
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=79 velocity=34 time=0
control_change channel=0 control=64 value=127 time=8
<meta message set_tempo tempo=332410 time=72>
note_on channel=0 note=79 velocity=0 time=0
note_on channel=0 note=77 velocity=39 time=0
<meta message set_tempo tempo=331492 time=80>
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=79 velocity=35 time=0
<meta message set_tempo tempo=330579 time=80>
note_on channel=0 note=79 velocity=0 time=0
note_on channel=0 note=77 velocity=39 time=0
<meta message set_tempo tempo=329670 time=80>
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=79 velocity=35 time=0
<meta message set_tempo tempo=328767 time=80>
note_on channel=0 note=79 velocity=0 time=0
note_on channel=0 note=77 velocity=39 time=0
<meta message set_tempo tempo=329670 time=80>
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=79 velocity=35 time=0
<meta message set_tempo tempo=330579 time=80>
note_on channel=0 note=79 velocity=0 time=0
note_on channel=0 note=77 velocity=39 time=0
<meta message set_tempo tempo=331492 time=40>
note_on channel=0 note=77 velocity=0 time=40
note_on channel=0 note=79 velocity=36 time=0
<meta message set_tempo tempo=332410 time=40>
note_on channel=0 note=79 velocity=0 time=40
note_on channel=0 note=77 velocity=33 time=0
<meta message set_tempo tempo=333333 time=40>
<meta message set_tempo tempo=334262 time=40>
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=79 velocity=39 time=0
<meta message set_tempo tempo=335196 time=80>
note_on channel=0 note=79 velocity=0 time=0
note_on channel=0 note=77 velocity=33 time=0
<meta message set_tempo tempo=336134 time=40>
<meta message set_tempo tempo=421556 time=80>
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=76 velocity=34 time=0
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=79 velocity=40 time=0
<meta message set_tempo tempo=461858 time=120>
note_on channel=0 note=79 velocity=0 time=0
note_on channel=0 note=77 velocity=35 time=0
<meta message set_tempo tempo=346001 time=120>
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=68 velocity=0 time=0
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=70 velocity=0 time=0
note_on channel=0 note=76 velocity=35 time=0
note_on channel=0 note=67 velocity=22 time=0
note_on channel=0 note=70 velocity=22 time=0
note_on channel=0 note=73 velocity=26 time=0
control_change channel=0 control=64 value=0 time=15
note_on channel=0 note=73 velocity=0 time=465
note_on channel=0 note=76 velocity=0 time=0
note_on channel=0 note=67 velocity=0 time=0
note_on channel=0 note=70 velocity=0 time=0
<meta message set_tempo tempo=378549 time=240>
note_on channel=0 note=37 velocity=27 time=0
note_on channel=0 note=37 velocity=0 time=120
<meta message set_tempo tempo=382166 time=120>
note_on channel=0 note=37 velocity=26 time=0
note_on channel=0 note=37 velocity=0 time=120
<meta message set_tempo tempo=388350 time=120>
note_on channel=0 note=37 velocity=26 time=0
note_on channel=0 note=37 velocity=0 time=120
<meta message set_tempo tempo=371471 time=120>
note_on channel=0 note=36 velocity=26 time=0
note_on channel=0 note=36 velocity=0 time=240
<meta message set_tempo tempo=492975 time=480>
note_on channel=0 note=76 velocity=35 time=0
note_on channel=0 note=79 velocity=35 time=0
note_on channel=0 note=79 velocity=0 time=240
note_on channel=0 note=76 velocity=0 time=0
note_on channel=0 note=79 velocity=31 time=0
note_on channel=0 note=76 velocity=31 time=0
<meta message set_tempo tempo=535189 time=240>
note_on channel=0 note=76 velocity=0 time=0
note_on channel=0 note=79 velocity=0 time=0
note_on channel=0 note=76 velocity=35 time=0
note_on channel=0 note=79 velocity=35 time=0
<meta message set_tempo tempo=446097 time=240>
note_on channel=0 note=79 velocity=0 time=0
note_on channel=0 note=76 velocity=0 time=0
note_on channel=0 note=79 velocity=35 time=0
note_on channel=0 note=82 velocity=35 time=0
note_on channel=0 note=82 velocity=0 time=480
note_on channel=0 note=79 velocity=0 time=0
<meta message set_tempo tempo=530879 time=240>
note_on channel=0 note=37 velocity=27 time=0
<meta message set_tempo tempo=558036 time=240>
note_on channel=0 note=37 velocity=0 time=0
note_on channel=0 note=37 velocity=26 time=0
<meta message set_tempo tempo=604290 time=240>
note_on channel=0 note=37 velocity=0 time=0
note_on channel=0 note=37 velocity=26 time=0
note_on channel=0 note=37 velocity=0 time=240
note_on channel=0 note=36 velocity=26 time=0
<meta message set_tempo tempo=588235 time=240>
note_on channel=0 note=36 velocity=0 time=240
<meta message set_tempo tempo=476190 time=240>
note_on channel=0 note=82 velocity=83 time=0
note_on channel=0 note=79 velocity=83 time=0
<meta message set_tempo tempo=497925 time=240>
note_on channel=0 note=79 velocity=0 time=0
note_on channel=0 note=82 velocity=0 time=0
note_on channel=0 note=82 velocity=77 time=0
note_on channel=0 note=79 velocity=77 time=0
<meta message set_tempo tempo=524017 time=240>
note_on channel=0 note=79 velocity=0 time=0
note_on channel=0 note=82 velocity=0 time=0
note_on channel=0 note=79 velocity=83 time=0
note_on channel=0 note=82 velocity=83 time=0
<meta message set_tempo tempo=331492 time=240>
note_on channel=0 note=82 velocity=0 time=0
note_on channel=0 note=79 velocity=0 time=0
note_on channel=0 note=88 velocity=85 time=0
control_change channel=0 control=64 value=127 time=52
note_on channel=0 note=88 velocity=0 time=68
note_on channel=0 note=82 velocity=76 time=0
<meta message set_tempo tempo=330579 time=80>
note_on channel=0 note=82 velocity=0 time=40
note_on channel=0 note=91 velocity=85 time=0
<meta message set_tempo tempo=329670 time=120>
note_on channel=0 note=91 velocity=0 time=0
note_on channel=0 note=88 velocity=75 time=0
note_on channel=0 note=88 velocity=0 time=120
note_on channel=0 note=94 velocity=85 time=0
<meta message set_tempo tempo=328767 time=80>
note_on channel=0 note=94 velocity=0 time=40
note_on channel=0 note=91 velocity=76 time=0
<meta message set_tempo tempo=327869 time=120>
note_on channel=0 note=91 velocity=0 time=0
note_on channel=0 note=88 velocity=85 time=0
note_on channel=0 note=88 velocity=0 time=120
note_on channel=0 note=91 velocity=76 time=0
<meta message set_tempo tempo=326975 time=80>
note_on channel=0 note=91 velocity=0 time=40
note_on channel=0 note=82 velocity=83 time=0
<meta message set_tempo tempo=326087 time=120>
note_on channel=0 note=82 velocity=0 time=0
note_on channel=0 note=88 velocity=75 time=0
note_on channel=0 note=88 velocity=0 time=120
note_on channel=0 note=79 velocity=83 time=0
<meta message set_tempo tempo=325203 time=80>
note_on channel=0 note=79 velocity=0 time=40
note_on channel=0 note=82 velocity=74 time=0
<meta message set_tempo tempo=324324 time=120>
note_on channel=0 note=82 velocity=0 time=0
note_on channel=0 note=76 velocity=81 time=0
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=79 velocity=74 time=0
note_on channel=0 note=79 velocity=0 time=120
note_on channel=0 note=70 velocity=81 time=0
note_on channel=0 note=70 velocity=0 time=120
note_on channel=0 note=76 velocity=71 time=0
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=67 velocity=80 time=0
note_on channel=0 note=67 velocity=0 time=120
note_on channel=0 note=70 velocity=73 time=0
note_on channel=0 note=70 velocity=0 time=120
note_on channel=0 note=64 velocity=80 time=0
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=67 velocity=70 time=0
note_on channel=0 note=67 velocity=0 time=120
note_on channel=0 note=58 velocity=79 time=0
note_on channel=0 note=58 velocity=0 time=120
note_on channel=0 note=64 velocity=71 time=0
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=55 velocity=75 time=0
note_on channel=0 note=55 velocity=0 time=120
note_on channel=0 note=58 velocity=63 time=0
<meta message set_tempo tempo=324324 time=80>
note_on channel=0 note=58 velocity=0 time=40
note_on channel=0 note=52 velocity=75 time=0
<meta message set_tempo tempo=325203 time=80>
note_on channel=0 note=52 velocity=0 time=40
note_on channel=0 note=55 velocity=64 time=0
<meta message set_tempo tempo=326087 time=40>
<meta message set_tempo tempo=340909 time=80>
note_on channel=0 note=55 velocity=0 time=0
