<meta message track_name name='Sonata No.14 in cis-Moll, Op. 27/2 - 1. Satz' time=0>
<meta message track_name name='Mondscheinsonate; der Gräfin Giulietta Guiccardi gewidmet' time=0>
<meta message copyright text='Coypright Bernd Krueger http://www.piano-midi.de' time=0>
<meta message text text='Ludwig van Beethoven' time=0>
<meta message text text='Fertiggestellt am 25.10.97\n' time=0>
<meta message text text="Pan's auf Standard am 18.1.98\n" time=0>
<meta message text text='Tempoänderungen am 31.1.98\n' time=0>
<meta message text text='Update am 17.8.99\n' time=0>
<meta message text text='Update am 8.1.00\n' time=0>
<meta message text text='Update am 27.10.01\n' time=0>
<meta message text text='Normierung: 23.12.2002\n' time=0>
<meta message text text='Update am 3.6.2012\n' time=0>
<meta message text text='Dauer: 6:02 Minuten\n' time=0>
<meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>
<meta message key_signature key='E' time=0>
<meta message set_tempo tempo=1251043 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=44 velocity=0 time=0
note_on channel=0 note=32 velocity=0 time=0
note_on channel=0 note=56 velocity=35 time=0
note_on channel=0 note=44 velocity=35 time=0
note_on channel=0 note=32 velocity=35 time=0
control_change channel=0 control=64 value=0 time=14
control_change channel=0 control=64 value=127 time=89
note_on channel=0 note=56 velocity=0 time=57
note_on channel=0 note=61 velocity=27 time=0
note_on channel=0 note=61 velocity=0 time=160
note_on channel=0 note=63 velocity=25 time=0
<meta message set_tempo tempo=1367677 time=160>
note_on channel=0 note=63 velocity=0 time=0
note_on channel=0 note=54 velocity=35 time=0
control_change channel=0 control=64 value=0 time=12
control_change channel=0 control=64 value=127 time=80
note_on channel=0 note=54 velocity=0 time=68
note_on channel=0 note=60 velocity=30 time=0
note_on channel=0 note=60 velocity=0 time=160
note_on channel=0 note=63 velocity=30 time=0
<meta message set_tempo tempo=1276867 time=160>
note_on channel=0 note=63 velocity=0 time=0
note_on channel=0 note=32 velocity=0 time=0
note_on channel=0 note=44 velocity=0 time=0
note_on channel=0 note=52 velocity=32 time=0
note_on channel=0 note=37 velocity=35 time=0
note_on channel=0 note=49 velocity=35 time=0
note_on channel=0 note=44 velocity=35 time=0
control_change channel=0 control=64 value=0 time=17
control_change channel=0 control=64 value=127 time=103
<meta message set_tempo tempo=1235839 time=40>
note_on channel=0 note=52 velocity=0 time=0
note_on channel=0 note=56 velocity=26 time=0
note_on channel=0 note=56 velocity=0 time=160
note_on channel=0 note=61 velocity=26 time=0
<meta message set_tempo tempo=1209190 time=160>
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=56 velocity=32 time=0
note_on channel=0 note=56 velocity=0 time=160
note_on channel=0 note=61 velocity=26 time=0
note_on channel=0 note=61 velocity=0 time=160
note_on channel=0 note=64 velocity=26 time=0
<meta message set_tempo tempo=1262626 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=56 velocity=31 time=0
note_on channel=0 note=56 velocity=0 time=160
note_on channel=0 note=61 velocity=25 time=0
note_on channel=0 note=61 velocity=0 time=160
note_on channel=0 note=64 velocity=25 time=0
<meta message set_tempo tempo=1500000 time=160>
note_on channel=0 note=64 velocity=0 time=0
control_change channel=0 control=91 value=127 time=0
note_on channel=0 note=68 velocity=56 time=0
note_on channel=0 note=56 velocity=31 time=0
note_on channel=0 note=56 velocity=0 time=160
note_on channel=0 note=61 velocity=25 time=0
<meta message set_tempo tempo=1764706 time=160>
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=64 velocity=22 time=0
note_on channel=0 note=68 velocity=0 time=40
note_on channel=0 note=68 velocity=50 time=0
<meta message set_tempo tempo=1318681 time=120>
note_on channel=0 note=68 velocity=0 time=0
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=44 velocity=0 time=0
note_on channel=0 note=49 velocity=0 time=0
note_on channel=0 note=37 velocity=0 time=0
note_on channel=0 note=68 velocity=50 time=0
note_on channel=0 note=56 velocity=31 time=0
note_on channel=0 note=36 velocity=38 time=0
note_on channel=0 note=44 velocity=38 time=0
note_on channel=0 note=48 velocity=38 time=0
control_change channel=0 control=64 value=0 time=11
<meta message set_tempo tempo=1304348 time=49>
<meta message set_tempo tempo=1290323 time=40>
control_change channel=0 control=64 value=127 time=27
<meta message set_tempo tempo=1276596 time=33>
note_on channel=0 note=56 velocity=0 time=0
note_on channel=0 note=63 velocity=26 time=0
<meta message set_tempo tempo=1263158 time=40>
<meta message set_tempo tempo=1250000 time=40>
<meta message set_tempo tempo=1237113 time=60>
note_on channel=0 note=63 velocity=0 time=20
note_on channel=0 note=66 velocity=23 time=0
<meta message set_tempo tempo=1224490 time=20>
<meta message set_tempo tempo=1212121 time=60>
<meta message set_tempo tempo=1200000 time=40>
<meta message set_tempo tempo=1188119 time=40>
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=56 velocity=31 time=0
<meta message set_tempo tempo=1148985 time=160>
note_on channel=0 note=56 velocity=0 time=0
note_on channel=0 note=63 velocity=26 time=0
note_on channel=0 note=63 velocity=0 time=160
note_on channel=0 note=66 velocity=25 time=0
<meta message set_tempo tempo=1184366 time=160>
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=56 velocity=31 time=0
note_on channel=0 note=56 velocity=0 time=160
note_on channel=0 note=63 velocity=26 time=0
note_on channel=0 note=63 velocity=0 time=160
note_on channel=0 note=66 velocity=25 time=0
<meta message set_tempo tempo=1445783 time=160>
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=68 velocity=0 time=0
note_on channel=0 note=68 velocity=56 time=0
note_on channel=0 note=56 velocity=31 time=0
note_on channel=0 note=56 velocity=0 time=160
note_on channel=0 note=63 velocity=25 time=0
<meta message set_tempo tempo=1740644 time=160>
note_on channel=0 note=63 velocity=0 time=0
note_on channel=0 note=66 velocity=23 time=0
note_on channel=0 note=68 velocity=0 time=40
note_on channel=0 note=68 velocity=53 time=0
<meta message set_tempo tempo=1262626 time=120>
note_on channel=0 note=68 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=48 velocity=0 time=0
note_on channel=0 note=36 velocity=0 time=0
note_on channel=0 note=44 velocity=0 time=0
note_on channel=0 note=68 velocity=53 time=0
note_on channel=0 note=56 velocity=31 time=0
note_on channel=0 note=37 velocity=35 time=0
note_on channel=0 note=49 velocity=35 time=0
control_change channel=0 control=64 value=0 time=11
control_change channel=0 control=64 value=127 time=74
note_on channel=0 note=56 velocity=0 time=75
note_on channel=0 note=61 velocity=26 time=0
<meta message set_tempo tempo=1196649 time=160>
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=64 velocity=25 time=0
<meta message set_tempo tempo=1172333 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=56 velocity=31 time=0
<meta message set_tempo tempo=1137656 time=160>
note_on channel=0 note=56 velocity=0 time=0
note_on channel=0 note=61 velocity=26 time=0
<meta message set_tempo tempo=1221996 time=160>
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=64 velocity=23 time=0
<meta message set_tempo tempo=1320713 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=49 velocity=0 time=0
note_on channel=0 note=37 velocity=0 time=0
note_on channel=0 note=68 velocity=0 time=0
note_on channel=0 note=69 velocity=56 time=0
note_on channel=0 note=57 velocity=31 time=0
note_on channel=0 note=42 velocity=32 time=0
note_on channel=0 note=30 velocity=32 time=0
control_change channel=0 control=64 value=0 time=18
control_change channel=0 control=64 value=127 time=116
<meta message set_tempo tempo=1262626 time=26>
note_on channel=0 note=57 velocity=0 time=0
note_on channel=0 note=61 velocity=25 time=0
<meta message set_tempo tempo=1248959 time=160>
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=66 velocity=25 time=0
<meta message set_tempo tempo=1184366 time=160>
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=57 velocity=27 time=0
note_on channel=0 note=57 velocity=0 time=160
note_on channel=0 note=61 velocity=25 time=0
note_on channel=0 note=61 velocity=0 time=160
note_on channel=0 note=66 velocity=25 time=0
<meta message set_tempo tempo=1320713 time=160>
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=30 velocity=0 time=0
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=69 velocity=0 time=0
note_on channel=0 note=68 velocity=56 time=0
note_on channel=0 note=56 velocity=33 time=0
note_on channel=0 note=35 velocity=41 time=0
note_on channel=0 note=47 velocity=41 time=0
control_change channel=0 control=64 value=0 time=17
<meta message set_tempo tempo=1305767 time=43>
control_change channel=0 control=64 value=127 time=39
<meta message set_tempo tempo=1290878 time=21>
note_on channel=0 note=56 velocity=0 time=40
note_on channel=0 note=59 velocity=23 time=0
<meta message set_tempo tempo=1276867 time=20>
<meta message set_tempo tempo=1262626 time=60>
<meta message set_tempo tempo=1248959 time=60>
note_on channel=0 note=59 velocity=0 time=20
note_on channel=0 note=64 velocity=23 time=0
<meta message set_tempo tempo=1235839 time=40>
<meta message set_tempo tempo=1221996 time=60>
<meta message set_tempo tempo=1209190 time=40>
<meta message set_tempo tempo=1196649 time=20>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=56 velocity=33 time=0
note_on channel=0 note=56 velocity=0 time=160
note_on channel=0 note=59 velocity=26 time=0
<meta message set_tempo tempo=1320713 time=160>
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=64 velocity=26 time=0
<meta message set_tempo tempo=1384402 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=47 velocity=0 time=0
note_on channel=0 note=35 velocity=0 time=0
note_on channel=0 note=68 velocity=0 time=0
note_on channel=0 note=66 velocity=53 time=0
note_on channel=0 note=57 velocity=33 time=0
note_on channel=0 note=35 velocity=41 time=0
note_on channel=0 note=47 velocity=41 time=0
control_change channel=0 control=64 value=0 time=13
control_change channel=0 control=64 value=127 time=100
note_on channel=0 note=57 velocity=0 time=47
note_on channel=0 note=59 velocity=27 time=0
<meta message set_tempo tempo=1423825 time=160>
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=63 velocity=25 time=0
<meta message set_tempo tempo=1336005 time=160>
note_on channel=0 note=63 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=71 velocity=50 time=0
note_on channel=0 note=57 velocity=30 time=0
note_on channel=0 note=57 velocity=0 time=160
note_on channel=0 note=59 velocity=26 time=0
note_on channel=0 note=59 velocity=0 time=160
note_on channel=0 note=63 velocity=27 time=0
<meta message set_tempo tempo=1320713 time=160>
note_on channel=0 note=63 velocity=0 time=0
note_on channel=0 note=47 velocity=0 time=0
note_on channel=0 note=35 velocity=0 time=0
note_on channel=0 note=71 velocity=0 time=0
note_on channel=0 note=64 velocity=47 time=0
note_on channel=0 note=56 velocity=33 time=0
note_on channel=0 note=52 velocity=35 time=0
note_on channel=0 note=40 velocity=35 time=0
control_change channel=0 control=64 value=0 time=16
control_change channel=0 control=64 value=127 time=97
<meta message set_tempo tempo=1276867 time=47>
note_on channel=0 note=56 velocity=0 time=0
note_on channel=0 note=59 velocity=26 time=0
note_on channel=0 note=64 velocity=0 time=150
note_on channel=0 note=59 velocity=0 time=10
note_on channel=0 note=64 velocity=26 time=0
<meta message set_tempo tempo=1248959 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=56 velocity=27 time=0
control_change channel=0 control=64 value=0 time=17
control_change channel=0 control=64 value=127 time=96
<meta message set_tempo tempo=1221996 time=47>
note_on channel=0 note=56 velocity=0 time=0
note_on channel=0 note=59 velocity=26 time=0
note_on channel=0 note=59 velocity=0 time=160
note_on channel=0 note=64 velocity=26 time=0
note_on channel=0 note=64 velocity=0 time=160
note_on channel=0 note=56 velocity=27 time=0
note_on channel=0 note=56 velocity=0 time=160
note_on channel=0 note=59 velocity=26 time=0
note_on channel=0 note=59 velocity=0 time=160
note_on channel=0 note=64 velocity=23 time=0
<meta message set_tempo tempo=1305767 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=56 velocity=27 time=0
note_on channel=0 note=56 velocity=0 time=160
note_on channel=0 note=59 velocity=26 time=0
<meta message set_tempo tempo=1418775 time=160>
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=64 velocity=23 time=0
<meta message set_tempo tempo=1305767 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=52 velocity=0 time=0
note_on channel=0 note=40 velocity=0 time=0
note_on channel=0 note=55 velocity=32 time=0
note_on channel=0 note=52 velocity=38 time=0
note_on channel=0 note=40 velocity=38 time=0
control_change channel=0 control=64 value=0 time=9
control_change channel=0 control=64 value=127 time=66
note_on channel=0 note=55 velocity=0 time=85
note_on channel=0 note=59 velocity=25 time=0
note_on channel=0 note=59 velocity=0 time=160
note_on channel=0 note=64 velocity=23 time=0
<meta message set_tempo tempo=1248959 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=55 velocity=27 time=0
<meta message set_tempo tempo=1196649 time=160>
note_on channel=0 note=55 velocity=0 time=0
note_on channel=0 note=59 velocity=26 time=0
note_on channel=0 note=59 velocity=0 time=160
note_on channel=0 note=64 velocity=23 time=0
note_on channel=0 note=64 velocity=0 time=160
note_on channel=0 note=55 velocity=27 time=0
note_on channel=0 note=55 velocity=0 time=160
note_on channel=0 note=59 velocity=26 time=0
note_on channel=0 note=59 velocity=0 time=160
note_on channel=0 note=64 velocity=22 time=0
<meta message set_tempo tempo=1463415 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=67 velocity=46 time=0
note_on channel=0 note=55 velocity=26 time=0
note_on channel=0 note=55 velocity=0 time=160
note_on channel=0 note=59 velocity=25 time=0
<meta message set_tempo tempo=1689665 time=160>
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=64 velocity=21 time=0
note_on channel=0 note=67 velocity=0 time=40
note_on channel=0 note=67 velocity=45 time=0
<meta message set_tempo tempo=1262626 time=120>
note_on channel=0 note=67 velocity=0 time=0
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=40 velocity=0 time=0
note_on channel=0 note=52 velocity=0 time=0
note_on channel=0 note=67 velocity=45 time=0
note_on channel=0 note=55 velocity=32 time=0
note_on channel=0 note=38 velocity=35 time=0
note_on channel=0 note=50 velocity=35 time=0
control_change channel=0 control=64 value=0 time=12
<meta message set_tempo tempo=1248959 time=68>
control_change channel=0 control=64 value=127 time=12
<meta message set_tempo tempo=1235839 time=68>
note_on channel=0 note=55 velocity=0 time=0
note_on channel=0 note=59 velocity=26 time=0
<meta message set_tempo tempo=1221996 time=80>
<meta message set_tempo tempo=1209190 time=80>
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=65 velocity=26 time=0
<meta message set_tempo tempo=1196649 time=80>
<meta message set_tempo tempo=1184366 time=80>
note_on channel=0 note=65 velocity=0 time=0
note_on channel=0 note=55 velocity=32 time=0
note_on channel=0 note=55 velocity=0 time=160
note_on channel=0 note=59 velocity=27 time=0
note_on channel=0 note=59 velocity=0 time=160
note_on channel=0 note=65 velocity=25 time=0
note_on channel=0 note=65 velocity=0 time=160
note_on channel=0 note=55 velocity=31 time=0
note_on channel=0 note=55 velocity=0 time=160
note_on channel=0 note=59 velocity=27 time=0
<meta message set_tempo tempo=1248959 time=160>
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=65 velocity=25 time=0
<meta message set_tempo tempo=1445783 time=160>
note_on channel=0 note=65 velocity=0 time=0
note_on channel=0 note=67 velocity=0 time=0
note_on channel=0 note=67 velocity=50 time=0
note_on channel=0 note=55 velocity=30 time=0
note_on channel=0 note=55 velocity=0 time=160
note_on channel=0 note=59 velocity=25 time=0
<meta message set_tempo tempo=1641138 time=160>
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=65 velocity=22 time=0
note_on channel=0 note=67 velocity=0 time=40
note_on channel=0 note=67 velocity=50 time=0
<meta message set_tempo tempo=1320713 time=120>
note_on channel=0 note=67 velocity=0 time=0
note_on channel=0 note=65 velocity=0 time=0
note_on channel=0 note=38 velocity=0 time=0
note_on channel=0 note=50 velocity=0 time=0
note_on channel=0 note=67 velocity=57 time=0
note_on channel=0 note=55 velocity=33 time=0
note_on channel=0 note=36 velocity=40 time=0
note_on channel=0 note=48 velocity=40 time=0
control_change channel=0 control=64 value=0 time=16
control_change channel=0 control=64 value=127 time=64
<meta message set_tempo tempo=1262626 time=80>
note_on channel=0 note=55 velocity=0 time=0
note_on channel=0 note=60 velocity=27 time=0
note_on channel=0 note=60 velocity=0 time=160
note_on channel=0 note=64 velocity=27 time=0
<meta message set_tempo tempo=1336005 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=48 velocity=0 time=0
note_on channel=0 note=36 velocity=0 time=0
note_on channel=0 note=55 velocity=40 time=0
note_on channel=0 note=47 velocity=46 time=0
note_on channel=0 note=35 velocity=46 time=0
control_change channel=0 control=64 value=0 time=15
control_change channel=0 control=64 value=127 time=65
<meta message set_tempo tempo=1248959 time=80>
note_on channel=0 note=55 velocity=0 time=0
note_on channel=0 note=59 velocity=33 time=0
note_on channel=0 note=59 velocity=0 time=160
note_on channel=0 note=64 velocity=33 time=0
<meta message set_tempo tempo=1367677 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=35 velocity=0 time=0
note_on channel=0 note=47 velocity=0 time=0
note_on channel=0 note=55 velocity=38 time=0
note_on channel=0 note=34 velocity=53 time=0
note_on channel=0 note=46 velocity=53 time=0
control_change channel=0 control=64 value=0 time=20
control_change channel=0 control=64 value=127 time=89
<meta message set_tempo tempo=1367677 time=51>
note_on channel=0 note=55 velocity=0 time=0
note_on channel=0 note=61 velocity=42 time=0
<meta message set_tempo tempo=1290878 time=20>
note_on channel=0 note=61 velocity=0 time=140
note_on channel=0 note=64 velocity=47 time=0
<meta message set_tempo tempo=1436438 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=67 velocity=0 time=0
note_on channel=0 note=66 velocity=56 time=0
note_on channel=0 note=54 velocity=41 time=0
control_change channel=0 control=64 value=0 time=13
control_change channel=0 control=64 value=127 time=62
<meta message set_tempo tempo=1367677 time=85>
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=61 velocity=35 time=0
<meta message set_tempo tempo=1418775 time=160>
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=64 velocity=27 time=0
<meta message set_tempo tempo=1384402 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=46 velocity=0 time=0
note_on channel=0 note=34 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=66 velocity=65 time=0
note_on channel=0 note=54 velocity=38 time=0
note_on channel=0 note=35 velocity=42 time=0
note_on channel=0 note=47 velocity=42 time=0
control_change channel=0 control=64 value=0 time=15
control_change channel=0 control=64 value=127 time=77
<meta message set_tempo tempo=1320713 time=68>
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=59 velocity=32 time=0
<meta message set_tempo tempo=1248959 time=20>
note_on channel=0 note=59 velocity=0 time=140
note_on channel=0 note=62 velocity=27 time=0
<meta message set_tempo tempo=1351656 time=160>
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=54 velocity=33 time=0
<meta message set_tempo tempo=1320713 time=160>
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=59 velocity=27 time=0
<meta message set_tempo tempo=1248959 time=20>
note_on channel=0 note=59 velocity=0 time=140
note_on channel=0 note=62 velocity=27 time=0
<meta message set_tempo tempo=1290878 time=160>
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=47 velocity=0 time=0
note_on channel=0 note=35 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=67 velocity=56 time=0
note_on channel=0 note=55 velocity=35 time=0
note_on channel=0 note=40 velocity=41 time=0
control_change channel=0 control=64 value=0 time=13
control_change channel=0 control=64 value=127 time=79
<meta message set_tempo tempo=1305767 time=68>
note_on channel=0 note=55 velocity=0 time=0
