<meta message track_name name='Das wohltemperierte Klavier I - Praeludium und Fuge 2 in c-Moll BWV 847' time=0>
<meta message copyright text='Copyright © 1997 von Bernd Krüger.' time=0>
<meta message text text='Johann Sebastian Bach' time=0>
<meta message text text='Fertiggestellt am 5.11.97\n' time=0>
<meta message text text="Pan's auf Standard am 18.1.98\n" time=0>
<meta message text text='Normierung: 23.12.2002\n' time=0>
<meta message text text='Update am 26.9.2004\n' time=0>
<meta message text text='Dauer: 3:09 Minuten\n' time=0>
<meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>
<meta message key_signature key='Eb' time=0>
note_on channel=0 note=53 velocity=73 time=1
note_on channel=0 note=55 velocity=0 time=17
note_on channel=0 note=63 velocity=0 time=2
note_on channel=0 note=63 velocity=76 time=97
note_on channel=0 note=55 velocity=73 time=0
<meta message set_tempo tempo=476190 time=1>
note_on channel=0 note=62 velocity=0 time=22
note_on channel=0 note=53 velocity=0 time=1
note_on channel=0 note=63 velocity=0 time=96
note_on channel=0 note=55 velocity=0 time=0
<meta message set_tempo tempo=485830 time=1>
note_on channel=0 note=72 velocity=96 time=3
note_on channel=0 note=48 velocity=88 time=0
note_on channel=0 note=55 velocity=74 time=116
<meta message set_tempo tempo=449438 time=1>
note_on channel=0 note=63 velocity=80 time=2
note_on channel=0 note=48 velocity=0 time=21
note_on channel=0 note=72 velocity=0 time=0
note_on channel=0 note=53 velocity=74 time=96
note_on channel=0 note=62 velocity=78 time=2
note_on channel=0 note=55 velocity=0 time=18
note_on channel=0 note=63 velocity=0 time=3
note_on channel=0 note=63 velocity=78 time=97
<meta message set_tempo tempo=466926 time=1>
note_on channel=0 note=55 velocity=72 time=1
note_on channel=0 note=53 velocity=0 time=18
note_on channel=0 note=62 velocity=0 time=2
note_on channel=0 note=60 velocity=80 time=97
<meta message set_tempo tempo=470588 time=2>
note_on channel=0 note=51 velocity=80 time=3
note_on channel=0 note=63 velocity=0 time=16
note_on channel=0 note=55 velocity=0 time=2
note_on channel=0 note=63 velocity=78 time=97
note_on channel=0 note=55 velocity=73 time=0
<meta message set_tempo tempo=431655 time=2>
note_on channel=0 note=60 velocity=0 time=18
note_on channel=0 note=51 velocity=0 time=5
note_on channel=0 note=53 velocity=73 time=95
<meta message set_tempo tempo=431655 time=2>
note_on channel=0 note=62 velocity=77 time=0
note_on channel=0 note=63 velocity=0 time=18
note_on channel=0 note=55 velocity=0 time=0
note_on channel=0 note=63 velocity=77 time=100
<meta message set_tempo tempo=487805 time=2>
note_on channel=0 note=55 velocity=73 time=1
note_on channel=0 note=53 velocity=0 time=17
note_on channel=0 note=62 velocity=0 time=2
note_on channel=0 note=63 velocity=0 time=98
note_on channel=0 note=68 velocity=96 time=0
<meta message set_tempo tempo=476190 time=2>
note_on channel=0 note=48 velocity=88 time=0
note_on channel=0 note=55 velocity=0 time=1
note_on channel=0 note=56 velocity=73 time=117
<meta message set_tempo tempo=452830 time=2>
note_on channel=0 note=65 velocity=80 time=3
note_on channel=0 note=68 velocity=0 time=15
note_on channel=0 note=48 velocity=0 time=2
note_on channel=0 note=55 velocity=73 time=99
note_on channel=0 note=64 velocity=76 time=1
note_on channel=0 note=56 velocity=0 time=18
note_on channel=0 note=65 velocity=0 time=5
note_on channel=0 note=65 velocity=76 time=95
<meta message set_tempo tempo=466926 time=2>
note_on channel=0 note=56 velocity=73 time=3
note_on channel=0 note=55 velocity=0 time=16
note_on channel=0 note=64 velocity=0 time=1
note_on channel=0 note=60 velocity=80 time=98
note_on channel=0 note=53 velocity=80 time=1
<meta message set_tempo tempo=472441 time=1>
note_on channel=0 note=65 velocity=0 time=18
note_on channel=0 note=56 velocity=0 time=5
note_on channel=0 note=65 velocity=76 time=95
note_on channel=0 note=56 velocity=73 time=0
<meta message set_tempo tempo=451128 time=2>
note_on channel=0 note=60 velocity=0 time=18
note_on channel=0 note=53 velocity=0 time=1
note_on channel=0 note=55 velocity=73 time=99
note_on channel=0 note=64 velocity=76 time=2
note_on channel=0 note=65 velocity=0 time=18
note_on channel=0 note=56 velocity=0 time=0
<meta message set_tempo tempo=476190 time=102>
note_on channel=0 note=65 velocity=76 time=1
note_on channel=0 note=56 velocity=73 time=2
note_on channel=0 note=55 velocity=0 time=15
note_on channel=0 note=64 velocity=0 time=2
note_on channel=0 note=48 velocity=88 time=98
<meta message set_tempo tempo=472441 time=2>
note_on channel=0 note=65 velocity=0 time=1
note_on channel=0 note=68 velocity=96 time=0
note_on channel=0 note=56 velocity=0 time=2
note_on channel=0 note=56 velocity=74 time=115
<meta message set_tempo tempo=456274 time=2>
note_on channel=0 note=65 velocity=80 time=1
note_on channel=0 note=48 velocity=0 time=17
note_on channel=0 note=68 velocity=0 time=3
note_on channel=0 note=55 velocity=72 time=97
note_on channel=0 note=64 velocity=77 time=3
note_on channel=0 note=56 velocity=0 time=17
note_on channel=0 note=65 velocity=0 time=3
note_on channel=0 note=65 velocity=77 time=97
<meta message set_tempo tempo=481928 time=2>
note_on channel=0 note=56 velocity=72 time=0
note_on channel=0 note=55 velocity=0 time=18
note_on channel=0 note=64 velocity=0 time=3
<meta message set_tempo tempo=461538 time=99>
note_on channel=0 note=60 velocity=80 time=1
note_on channel=0 note=53 velocity=80 time=2
note_on channel=0 note=65 velocity=0 time=15
note_on channel=0 note=56 velocity=0 time=2
<meta message set_tempo tempo=451128 time=100>
note_on channel=0 note=65 velocity=76 time=0
note_on channel=0 note=56 velocity=74 time=0
note_on channel=0 note=60 velocity=0 time=21
note_on channel=0 note=53 velocity=0 time=2
note_on channel=0 note=64 velocity=76 time=97
note_on channel=0 note=55 velocity=74 time=0
note_on channel=0 note=65 velocity=0 time=20
note_on channel=0 note=56 velocity=0 time=0
note_on channel=0 note=65 velocity=76 time=98
<meta message set_tempo tempo=483871 time=2>
note_on channel=0 note=56 velocity=74 time=3
note_on channel=0 note=64 velocity=0 time=17
note_on channel=0 note=55 velocity=0 time=0
note_on channel=0 note=65 velocity=0 time=98
<meta message set_tempo tempo=472441 time=2>
note_on channel=0 note=71 velocity=96 time=1
note_on channel=0 note=56 velocity=0 time=2
note_on channel=0 note=48 velocity=88 time=0
<meta message set_tempo tempo=447761 time=117>
note_on channel=0 note=56 velocity=74 time=1
note_on channel=0 note=65 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=19
note_on channel=0 note=48 velocity=0 time=2
note_on channel=0 note=63 velocity=76 time=99
note_on channel=0 note=55 velocity=74 time=1
note_on channel=0 note=56 velocity=0 time=18
note_on channel=0 note=65 velocity=0 time=1
<meta message set_tempo tempo=472441 time=98>
note_on channel=0 note=65 velocity=75 time=1
note_on channel=0 note=56 velocity=74 time=1
note_on channel=0 note=63 velocity=0 time=20
note_on channel=0 note=55 velocity=0 time=1
note_on channel=0 note=62 velocity=80 time=96
<meta message set_tempo tempo=461538 time=1>
note_on channel=0 note=53 velocity=80 time=0
note_on channel=0 note=65 velocity=0 time=21
note_on channel=0 note=56 velocity=0 time=1
note_on channel=0 note=56 velocity=74 time=97
<meta message set_tempo tempo=449438 time=1>
note_on channel=0 note=65 velocity=76 time=3
note_on channel=0 note=62 velocity=0 time=16
note_on channel=0 note=53 velocity=0 time=1
note_on channel=0 note=55 velocity=74 time=98
note_on channel=0 note=63 velocity=76 time=4
note_on channel=0 note=56 velocity=0 time=17
note_on channel=0 note=65 velocity=0 time=4
<meta message set_tempo tempo=468750 time=97>
note_on channel=0 note=56 velocity=73 time=1
note_on channel=0 note=65 velocity=76 time=2
note_on channel=0 note=55 velocity=0 time=15
note_on channel=0 note=63 velocity=0 time=4
<meta message set_tempo tempo=474308 time=98>
note_on channel=0 note=56 velocity=0 time=1
note_on channel=0 note=65 velocity=0 time=2
note_on channel=0 note=71 velocity=96 time=0
note_on channel=0 note=48 velocity=88 time=0
<meta message set_tempo tempo=449438 time=117>
note_on channel=0 note=56 velocity=75 time=0
note_on channel=0 note=65 velocity=80 time=1
note_on channel=0 note=48 velocity=0 time=22
note_on channel=0 note=71 velocity=0 time=0
note_on channel=0 note=63 velocity=76 time=95
note_on channel=0 note=55 velocity=75 time=1
note_on channel=0 note=56 velocity=0 time=21
note_on channel=0 note=65 velocity=0 time=1
<meta message set_tempo tempo=476190 time=99>
note_on channel=0 note=65 velocity=80 time=0
note_on channel=0 note=56 velocity=75 time=1
note_on channel=0 note=63 velocity=0 time=17
note_on channel=0 note=55 velocity=0 time=1
note_on channel=0 note=62 velocity=80 time=100
note_on channel=0 note=53 velocity=80 time=0
<meta message set_tempo tempo=466926 time=1>
note_on channel=0 note=65 velocity=0 time=20
note_on channel=0 note=56 velocity=0 time=1
<meta message set_tempo tempo=451128 time=99>
note_on channel=0 note=56 velocity=74 time=2
note_on channel=0 note=65 velocity=77 time=1
note_on channel=0 note=62 velocity=0 time=16
note_on channel=0 note=53 velocity=0 time=0
note_on channel=0 note=63 velocity=77 time=100
note_on channel=0 note=55 velocity=74 time=4
note_on channel=0 note=56 velocity=0 time=19
note_on channel=0 note=65 velocity=0 time=1
<meta message set_tempo tempo=483871 time=97>
note_on channel=0 note=56 velocity=74 time=0
note_on channel=0 note=65 velocity=77 time=2
note_on channel=0 note=63 velocity=0 time=17
note_on channel=0 note=55 velocity=0 time=4
<meta message set_tempo tempo=502092 time=97>
note_on channel=0 note=56 velocity=0 time=0
note_on channel=0 note=65 velocity=0 time=2
note_on channel=0 note=72 velocity=96 time=1
note_on channel=0 note=48 velocity=88 time=0
note_on channel=0 note=51 velocity=75 time=115
<meta message set_tempo tempo=442804 time=2>
note_on channel=0 note=67 velocity=80 time=3
note_on channel=0 note=48 velocity=0 time=20
note_on channel=0 note=72 velocity=0 time=0
note_on channel=0 note=65 velocity=75 time=100
note_on channel=0 note=50 velocity=75 time=0
note_on channel=0 note=51 velocity=0 time=15
note_on channel=0 note=67 velocity=0 time=5
<meta message set_tempo tempo=468750 time=97>
note_on channel=0 note=67 velocity=75 time=1
note_on channel=0 note=51 velocity=75 time=0
note_on channel=0 note=65 velocity=0 time=22
note_on channel=0 note=50 velocity=0 time=0
<meta message set_tempo tempo=478088 time=97>
note_on channel=0 note=63 velocity=80 time=0
note_on channel=0 note=55 velocity=80 time=2
note_on channel=0 note=67 velocity=0 time=19
note_on channel=0 note=51 velocity=0 time=0
note_on channel=0 note=67 velocity=76 time=98
<meta message set_tempo tempo=428571 time=1>
note_on channel=0 note=51 velocity=75 time=1
note_on channel=0 note=63 velocity=0 time=19
note_on channel=0 note=55 velocity=0 time=2
note_on channel=0 note=50 velocity=75 time=96
note_on channel=0 note=65 velocity=76 time=1
<meta message set_tempo tempo=425532 time=1>
note_on channel=0 note=67 velocity=0 time=19
note_on channel=0 note=51 velocity=0 time=2
note_on channel=0 note=51 velocity=75 time=98
<meta message set_tempo tempo=468750 time=1>
note_on channel=0 note=67 velocity=76 time=3
note_on channel=0 note=50 velocity=0 time=15
note_on channel=0 note=65 velocity=0 time=1
note_on channel=0 note=72 velocity=96 time=99
note_on channel=0 note=51 velocity=0 time=1
<meta message set_tempo tempo=480000 time=1>
note_on channel=0 note=48 velocity=88 time=0
note_on channel=0 note=67 velocity=0 time=3
note_on channel=0 note=51 velocity=75 time=115
<meta message set_tempo tempo=444444 time=2>
note_on channel=0 note=67 velocity=80 time=0
note_on channel=0 note=72 velocity=0 time=18
note_on channel=0 note=48 velocity=0 time=2
note_on channel=0 note=65 velocity=75 time=98
note_on channel=0 note=50 velocity=75 time=2
note_on channel=0 note=51 velocity=0 time=18
note_on channel=0 note=67 velocity=0 time=2
note_on channel=0 note=51 velocity=75 time=98
<meta message set_tempo tempo=487805 time=2>
note_on channel=0 note=67 velocity=75 time=2
note_on channel=0 note=65 velocity=0 time=16
note_on channel=0 note=50 velocity=0 time=2
note_on channel=0 note=63 velocity=80 time=98
<meta message set_tempo tempo=478088 time=2>
note_on channel=0 note=55 velocity=80 time=1
note_on channel=0 note=51 velocity=0 time=17
note_on channel=0 note=67 velocity=0 time=4
note_on channel=0 note=67 velocity=76 time=96
<meta message set_tempo tempo=447761 time=2>
note_on channel=0 note=51 velocity=75 time=3
note_on channel=0 note=63 velocity=0 time=15
note_on channel=0 note=55 velocity=0 time=3
note_on channel=0 note=50 velocity=75 time=97
<meta message set_tempo tempo=430108 time=2>
note_on channel=0 note=65 velocity=76 time=3
note_on channel=0 note=67 velocity=0 time=15
note_on channel=0 note=51 velocity=0 time=5
note_on channel=0 note=67 velocity=76 time=96
<meta message set_tempo tempo=506329 time=1>
note_on channel=0 note=51 velocity=75 time=2
note_on channel=0 note=50 velocity=0 time=16
note_on channel=0 note=65 velocity=0 time=5
note_on channel=0 note=67 velocity=0 time=96
note_on channel=0 note=75 velocity=96 time=0
<meta message set_tempo tempo=515021 time=1>
note_on channel=0 note=48 velocity=88 time=1
note_on channel=0 note=51 velocity=0 time=1
<meta message set_tempo tempo=452830 time=118>
note_on channel=0 note=68 velocity=80 time=1
note_on channel=0 note=60 velocity=75 time=1
note_on channel=0 note=75 velocity=0 time=17
note_on channel=0 note=48 velocity=0 time=2
note_on channel=0 note=67 velocity=76 time=101
note_on channel=0 note=58 velocity=75 time=0
note_on channel=0 note=68 velocity=0 time=19
note_on channel=0 note=60 velocity=0 time=1
<meta message set_tempo tempo=485830 time=98>
note_on channel=0 note=60 velocity=75 time=1
note_on channel=0 note=68 velocity=76 time=2
note_on channel=0 note=67 velocity=0 time=19
note_on channel=0 note=58 velocity=0 time=0
<meta message set_tempo tempo=474308 time=98>
note_on channel=0 note=63 velocity=80 time=2
note_on channel=0 note=56 velocity=80 time=0
note_on channel=0 note=60 velocity=0 time=19
note_on channel=0 note=68 velocity=0 time=2
note_on channel=0 note=60 velocity=75 time=95
<meta message set_tempo tempo=449438 time=2>
note_on channel=0 note=68 velocity=75 time=0
note_on channel=0 note=63 velocity=0 time=22
note_on channel=0 note=56 velocity=0 time=0
note_on channel=0 note=67 velocity=75 time=97
note_on channel=0 note=58 velocity=75 time=3
note_on channel=0 note=60 velocity=0 time=16
note_on channel=0 note=68 velocity=0 time=2
<meta message set_tempo tempo=487805 time=100>
note_on channel=0 note=68 velocity=76 time=2
note_on channel=0 note=60 velocity=74 time=0
note_on channel=0 note=67 velocity=0 time=17
note_on channel=0 note=58 velocity=0 time=3
<meta message set_tempo tempo=476190 time=78>
<meta message set_tempo tempo=478088 time=20>
note_on channel=0 note=75 velocity=96 time=0
note_on channel=0 note=68 velocity=0 time=2
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=48 velocity=88 time=0
note_on channel=0 note=60 velocity=76 time=116
<meta message set_tempo tempo=452830 time=2>
note_on channel=0 note=68 velocity=80 time=0
note_on channel=0 note=75 velocity=0 time=20
note_on channel=0 note=48 velocity=0 time=2
note_on channel=0 note=67 velocity=75 time=101
note_on channel=0 note=58 velocity=76 time=0
note_on channel=0 note=60 velocity=0 time=15
note_on channel=0 note=68 velocity=0 time=2
<meta message set_tempo tempo=472441 time=100>
note_on channel=0 note=60 velocity=76 time=1
note_on channel=0 note=68 velocity=75 time=1
note_on channel=0 note=67 velocity=0 time=21
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=63 velocity=80 time=95
<meta message set_tempo tempo=474308 time=2>
note_on channel=0 note=56 velocity=80 time=2
note_on channel=0 note=60 velocity=0 time=19
note_on channel=0 note=68 velocity=0 time=1
note_on channel=0 note=60 velocity=75 time=96
<meta message set_tempo tempo=446097 time=2>
note_on channel=0 note=68 velocity=75 time=1
note_on channel=0 note=63 velocity=0 time=17
note_on channel=0 note=56 velocity=0 time=4
note_on channel=0 note=67 velocity=76 time=98
note_on channel=0 note=58 velocity=75 time=1
note_on channel=0 note=60 velocity=0 time=17
note_on channel=0 note=68 velocity=0 time=3
<meta message set_tempo tempo=485830 time=99>
note_on channel=0 note=68 velocity=76 time=2
note_on channel=0 note=60 velocity=75 time=1
note_on channel=0 note=67 velocity=0 time=17
note_on channel=0 note=58 velocity=0 time=1
note_on channel=0 note=48 velocity=88 time=97
<meta message set_tempo tempo=485830 time=2>
note_on channel=0 note=74 velocity=96 time=1
note_on channel=0 note=68 velocity=0 time=1
note_on channel=0 note=60 velocity=0 time=1
<meta message set_tempo tempo=512821 time=17>
note_on channel=0 note=57 velocity=76 time=99
<meta message set_tempo tempo=442804 time=1>
note_on channel=0 note=66 velocity=80 time=1
note_on channel=0 note=48 velocity=0 time=17
note_on channel=0 note=74 velocity=0 time=3
note_on channel=0 note=55 velocity=76 time=97
note_on channel=0 note=64 velocity=76 time=2
note_on channel=0 note=57 velocity=0 time=19
note_on channel=0 note=66 velocity=0 time=2
note_on channel=0 note=66 velocity=76 time=97
<meta message set_tempo tempo=483871 time=2>
note_on channel=0 note=57 velocity=76 time=3
note_on channel=0 note=55 velocity=0 time=15
note_on channel=0 note=64 velocity=0 time=2
note_on channel=0 note=62 velocity=80 time=99
<meta message set_tempo tempo=480000 time=1>
note_on channel=0 note=54 velocity=80 time=1
note_on channel=0 note=66 velocity=0 time=17
note_on channel=0 note=57 velocity=0 time=5
note_on channel=0 note=57 velocity=75 time=96
<meta message set_tempo tempo=434783 time=1>
note_on channel=0 note=66 velocity=76 time=0
note_on channel=0 note=62 velocity=0 time=19
note_on channel=0 note=54 velocity=0 time=2
<meta message set_tempo tempo=428571 time=99>
note_on channel=0 note=64 velocity=76 time=2
note_on channel=0 note=55 velocity=75 time=1
note_on channel=0 note=57 velocity=0 time=16
note_on channel=0 note=66 velocity=0 time=1
<meta message set_tempo tempo=468750 time=100>
note_on channel=0 note=57 velocity=75 time=0
note_on channel=0 note=66 velocity=76 time=1
note_on channel=0 note=64 velocity=0 time=21
note_on channel=0 note=55 velocity=0 time=1
<meta message set_tempo tempo=480000 time=97>
note_on channel=0 note=57 velocity=0 time=0
note_on channel=0 note=66 velocity=0 time=1
note_on channel=0 note=48 velocity=88 time=1
note_on channel=0 note=74 velocity=96 time=1
<meta message set_tempo tempo=463320 time=17>
note_on channel=0 note=57 velocity=75 time=99
<meta message set_tempo tempo=441176 time=1>
note_on channel=0 note=66 velocity=80 time=2
note_on channel=0 note=48 velocity=0 time=20
note_on channel=0 note=74 velocity=0 time=1
note_on channel=0 note=55 velocity=75 time=95
note_on channel=0 note=64 velocity=75 time=2
note_on channel=0 note=57 velocity=0 time=19
note_on channel=0 note=66 velocity=0 time=3
note_on channel=0 note=66 velocity=75 time=97
note_on channel=0 note=57 velocity=75 time=0
<meta message set_tempo tempo=465116 time=1>
note_on channel=0 note=55 velocity=0 time=18
note_on channel=0 note=64 velocity=0 time=2
<meta message set_tempo tempo=465116 time=100>
note_on channel=0 note=62 velocity=80 time=1
note_on channel=0 note=54 velocity=80 time=0
note_on channel=0 note=66 velocity=0 time=18
note_on channel=0 note=57 velocity=0 time=0
<meta message set_tempo tempo=436364 time=101>
note_on channel=0 note=66 velocity=76 time=0
note_on channel=0 note=57 velocity=74 time=3
note_on channel=0 note=62 velocity=0 time=18
note_on channel=0 note=54 velocity=0 time=0
note_on channel=0 note=64 velocity=77 time=97
note_on channel=0 note=55 velocity=74 time=0
note_on channel=0 note=66 velocity=0 time=22
note_on channel=0 note=57 velocity=0 time=3
<meta message set_tempo tempo=480000 time=97>
note_on channel=0 note=66 velocity=77 time=2
note_on channel=0 note=57 velocity=74 time=1
note_on channel=0 note=64 velocity=0 time=15
note_on channel=0 note=55 velocity=0 time=0
<meta message set_tempo tempo=502092 time=102>
note_on channel=0 note=46 velocity=88 time=0
note_on channel=0 note=74 velocity=96 time=1
note_on channel=0 note=66 velocity=0 time=1
note_on channel=0 note=57 velocity=0 time=1
note_on channel=0 note=67 velocity=80 time=115
note_on channel=0 note=58 velocity=75 time=0
<meta message set_tempo tempo=439560 time=2>
note_on channel=0 note=46 velocity=0 time=20
note_on channel=0 note=74 velocity=0 time=1
note_on channel=0 note=57 velocity=75 time=101
note_on channel=0 note=66 velocity=75 time=1
note_on channel=0 note=67 velocity=0 time=15
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=67 velocity=75 time=100
note_on channel=0 note=58 velocity=75 time=1
<meta message set_tempo tempo=481928 time=1>
note_on channel=0 note=57 velocity=0 time=22
note_on channel=0 note=66 velocity=0 time=1
<meta message set_tempo tempo=463320 time=97>
note_on channel=0 note=62 velocity=80 time=3
note_on channel=0 note=55 velocity=80 time=0
note_on channel=0 note=67 velocity=0 time=15
note_on channel=0 note=58 velocity=0 time=1
<meta message set_tempo tempo=441176 time=101>
note_on channel=0 note=67 velocity=75 time=2
note_on channel=0 note=58 velocity=74 time=0
note_on channel=0 note=62 velocity=0 time=21
note_on channel=0 note=55 velocity=0 time=0
note_on channel=0 note=66 velocity=75 time=96
note_on channel=0 note=57 velocity=74 time=4
note_on channel=0 note=67 velocity=0 time=19
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=58 velocity=74 time=97
<meta message set_tempo tempo=472441 time=1>
note_on channel=0 note=67 velocity=75 time=0
note_on channel=0 note=66 velocity=0 time=19
note_on channel=0 note=57 velocity=0 time=4
note_on channel=0 note=74 velocity=96 time=95
note_on channel=0 note=58 velocity=0 time=1
<meta message set_tempo tempo=468750 time=1>
note_on channel=0 note=67 velocity=0 time=0
note_on channel=0 note=46 velocity=88 time=0
note_on channel=0 note=58 velocity=74 time=118
<meta message set_tempo tempo=441176 time=2>
note_on channel=0 note=67 velocity=80 time=3
note_on channel=0 note=74 velocity=0 time=15
note_on channel=0 note=46 velocity=0 time=2
note_on channel=0 note=66 velocity=76 time=102
note_on channel=0 note=57 velocity=74 time=0
note_on channel=0 note=58 velocity=0 time=16
note_on channel=0 note=67 velocity=0 time=5
note_on channel=0 note=67 velocity=77 time=95
note_on channel=0 note=58 velocity=74 time=0
<meta message set_tempo tempo=465116 time=2>
<meta message set_tempo tempo=465116 time=20>
note_on channel=0 note=66 velocity=0 time=2
note_on channel=0 note=57 velocity=0 time=0
<meta message set_tempo tempo=465116 time=98>
note_on channel=0 note=55 velocity=80 time=0
note_on channel=0 note=62 velocity=80 time=3
note_on channel=0 note=67 velocity=0 time=15
note_on channel=0 note=58 velocity=0 time=0
note_on channel=0 note=58 velocity=74 time=101
<meta message set_tempo tempo=428571 time=1>
note_on channel=0 note=67 velocity=75 time=2
note_on channel=0 note=55 velocity=0 time=18
note_on channel=0 note=62 velocity=0 time=3
note_on channel=0 note=66 velocity=75 time=98
note_on channel=0 note=57 velocity=74 time=2
note_on channel=0 note=58 velocity=0 time=16
note_on channel=0 note=67 velocity=0 time=3
note_on channel=0 note=58 velocity=74 time=96
note_on channel=0 note=67 velocity=74 time=1
<meta message set_tempo tempo=483871 time=1>
note_on channel=0 note=66 velocity=0 time=21
note_on channel=0 note=57 velocity=0 time=2
note_on channel=0 note=58 velocity=0 time=95
note_on channel=0 note=67 velocity=0 time=1
note_on channel=0 note=72 velocity=96 time=0
note_on channel=0 note=46 velocity=88 time=0
<meta message set_tempo tempo=480000 time=1>
note_on channel=0 note=55 velocity=75 time=119
<meta message set_tempo tempo=428571 time=1>
note_on channel=0 note=64 velocity=80 time=2
note_on channel=0 note=46 velocity=0 time=17
note_on channel=0 note=72 velocity=0 time=0
note_on channel=0 note=53 velocity=75 time=100
note_on channel=0 note=62 velocity=76 time=1
note_on channel=0 note=55 velocity=0 time=19
note_on channel=0 note=64 velocity=0 time=3
note_on channel=0 note=64 velocity=76 time=96
note_on channel=0 note=55 velocity=75 time=0
<meta message set_tempo tempo=465116 time=2>
note_on channel=0 note=53 velocity=0 time=19
note_on channel=0 note=62 velocity=0 time=1
<meta message set_tempo tempo=470588 time=100>
note_on channel=0 note=60 velocity=80 time=1
note_on channel=0 note=52 velocity=80 time=0
note_on channel=0 note=64 velocity=0 time=17
note_on channel=0 note=55 velocity=0 time=0
<meta message set_tempo tempo=444444 time=102>
note_on channel=0 note=64 velocity=76 time=2
note_on channel=0 note=55 velocity=74 time=1
note_on channel=0 note=60 velocity=0 time=18
note_on channel=0 note=52 velocity=0 time=0
note_on channel=0 note=62 velocity=76 time=99
note_on channel=0 note=53 velocity=74 time=3
note_on channel=0 note=64 velocity=0 time=19
note_on channel=0 note=55 velocity=0 time=1
note_on channel=0 note=64 velocity=75 time=96
note_on channel=0 note=55 velocity=74 time=0
<meta message set_tempo tempo=468750 time=1>
note_on channel=0 note=62 velocity=0 time=20
note_on channel=0 note=53 velocity=0 time=3
note_on channel=0 note=64 velocity=0 time=96
note_on channel=0 note=55 velocity=0 time=0
<meta message set_tempo tempo=461538 time=1>
note_on channel=0 note=72 velocity=96 time=1
note_on channel=0 note=46 velocity=88 time=1
<meta message set_tempo tempo=437956 time=118>
note_on channel=0 note=55 velocity=73 time=1
note_on channel=0 note=64 velocity=80 time=1
note_on channel=0 note=72 velocity=0 time=19
note_on channel=0 note=46 velocity=0 time=1
note_on channel=0 note=53 velocity=73 time=99
note_on channel=0 note=62 velocity=76 time=1
note_on channel=0 note=55 velocity=0 time=19
note_on channel=0 note=64 velocity=0 time=1
<meta message set_tempo tempo=465116 time=98>
note_on channel=0 note=64 velocity=76 time=2
